Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,Smiles
CHEMBL1232432,243,6.61,COc1cc2nc(NCCCN(C)C)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC
CHEMBL2440565,27600,4.56,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
CHEMBL2440566,39800,4.4,Fc1ccccc1Cn1cc(CSC(=S)N2CCN(c3ncccn3)CC2)nn1
CHEMBL2440567,43900,4.36,Fc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
CHEMBL3134355,26300,4.58,Cc1nccc(-c2cncc(S(=O)(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2)n1
CHEMBL3415351,1590.736667,5.8,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccccc2)n1
CHEMBL3415352,1158.355,5.94,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1
CHEMBL3415353,1100.513333,5.96,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL3415354,1080,5.97,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(CC(C)C)cc2)n1
CHEMBL3415355,1821.3,5.74,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(F)cc2)n1
CHEMBL3415356,2580.753333,5.59,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)n1
CHEMBL3415357,1590.736667,5.8,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(Cl)cc2)n1
CHEMBL3415358,1661.136667,5.78,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(F)c(F)c2)n1
CHEMBL3415359,1590.736667,5.8,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(Br)cc2)n1
CHEMBL3415360,3580.32,5.45,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cccc(Cl)c2)n1
CHEMBL3415361,2610.72,5.58,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cccc(OC)c2)n1
CHEMBL3415362,2640.803333,5.58,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(Cl)cc2)n1
CHEMBL3415363,7400,5.13,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(F)c(F)c2)n1
CHEMBL3415364,3160.76,5.5,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL3415365,4880,5.31,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(CC(C)C)cc2)n1
CHEMBL3415366,5063.303333,5.3,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2cccc(Cl)c2)n1
CHEMBL3415367,11191.46,4.95,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)n1
CHEMBL3415529,41505.13333,4.38,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(Br)cc2)n1
CHEMBL3415539,45736.27333,4.34,C#CCSc1nc(Cl)c(C#N)c(-c2ccccc2)n1
CHEMBL3415540,3131.096667,5.5,C#CCSc1nc(Cl)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1
CHEMBL3415541,59204.17667,4.23,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL3415542,26480,4.58,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(CC(C)C)cc2)n1
CHEMBL3415543,21822.43333,4.66,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(F)cc2)n1
CHEMBL3415545,8332.27,5.08,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(Cl)cc2)n1
CHEMBL3415546,24372.70333,4.61,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(F)c(F)c2)n1
CHEMBL3415547,24712.41333,4.61,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(Br)cc2)n1
CHEMBL3415549,97285.36,4.01,N#Cc1c(Cl)nc(SCc2cn(Cc3ccccc3Cl)nn2)nc1-c1ccccc1
CHEMBL3415551,98438.26333,4.01,COc1cc(-c2nc(SCc3ccc(Cl)c(Cl)c3)nc(NNC(N)=S)c2C#N)cc(OC)c1OC
CHEMBL4065771,717,6.14,CCCSc1nc(Sc2ccccn2)c2nnn(CCc3cccs3)c2n1
CHEMBL4068480,758,6.12,CCCSc1nc(Sc2ccccn2)c2nnn(Cc3ccco3)c2n1
CHEMBL4069511,678,6.17,C#CCSc1nc(Sc2ccccn2)c2nnn(Cc3ccccc3)c2n1
CHEMBL4074390,960,6.02,CCCSc1nc(Sc2ccccn2)c2nnn(CC(C)C)c2n1
CHEMBL4079376,1080.715,5.97,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(C(C)C)cc2)n1
CHEMBL4087193,685,6.16,CCCSc1nc(Sc2ccccn2)c2nnn(Cc3ccccc3)c2n1
CHEMBL4089321,26482.5,4.58,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(C(C)C)cc2)n1
CHEMBL4090528,564,6.25,c1ccc(CSc2nc(Sc3ccccn3)c3nnn(Cc4ccccc4)c3n2)cc1
CHEMBL4094875,1153,5.94,CCCSc1nc(Sc2ccccn2)c2nnn(C3CCCC3)c2n1
CHEMBL4095185,4883.26,5.31,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(C(C)C)cc2)n1
CHEMBL4095820,2633,5.58,CCCSc1nc(Sc2ccccn2)c2nnn(CCO)c2n1
CHEMBL4437554,124.05,6.91,FC(F)(F)Cc1cc2c(N[C@H]3CC[C@@H](N[C@@H]4C[C@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4440500,240.5,6.62,Fc1ccc([C@@H]2C[C@H]2NC2CCN(c3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F
CHEMBL4442317,211.35,6.67,FC(F)(F)Cc1cc2c(N3CCC(N[C@@H]4C[C@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4447074,187,6.73,FC(F)(F)Cc1cc2c(N[C@H]3CC[C@H](N[C@H]4C[C@@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4474185,303.35,6.52,FC(F)(F)Cc1cc2c(N[C@H]3CC[C@H](N[C@@H]4C[C@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4476120,9550,5.02,Nc1ccc(/C=C/c2ccc(O)c(-c3ncccn3)c2)cc1
CHEMBL4520948,109.35,6.96,FC(F)(F)Cc1cc2c(N[C@H]3CC[C@H](CN[C@@H]4C[C@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4526830,692.15,6.16,FC(F)(F)Cc1cc2c(N3CCC(N[C@H]4C[C@@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4530202,241.95,6.62,FC(F)(F)Cc1cc2c(N[C@H]3CC[C@@H](N[C@H]4C[C@@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4533143,66.13,7.18,Fc1ccc([C@@H]2C[C@H]2N[C@H]2CC[C@@H](Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F
CHEMBL4550942,184.15,6.73,FC(F)(F)Cc1cc2c(N[C@H]3CC[C@H](CN[C@H]4C[C@@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4558443,359.7,6.44,Fc1ccc([C@@H]2C[C@H]2NC[C@H]2CC[C@H](Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F
CHEMBL4566525,920,6.04,N/C(=N\O)c1ccc(/C=C/c2ccc(O)c(-c3ncccn3)c2)cc1
CHEMBL4569986,61.04,7.21,FC(F)(F)Cc1cc2c(N3CCC(CN[C@H]4C[C@@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4573261,859,6.07,Nc1cccc(/C=C/c2ccc(O)c(-c3ncccn3)c2)c1
CHEMBL4580675,84.38,7.07,FC(F)(F)Cc1cc2c(N3CCC(CN[C@@H]4C[C@H]4c4ccccc4)CC3)ncnc2s1
CHEMBL4583548,1290,5.89,N/C(=N\O)c1cccc(/C=C/c2ccc(O)c(-c3ncccn3)c2)c1
CHEMBL4589914,146.35,6.83,Fc1ccc([C@@H]2C[C@H]2N[C@H]2CC[C@H](Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F
CHEMBL4593261,252.33,6.6,Fc1ccc([C@@H]2C[C@H]2NCC2CCN(c3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F
CHEMBL3758284,9100,5.04,N#Cc1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(C#N)cc2)cc1
CHEMBL3758396,540,6.27,N#Cc1ccc(-c2nc(OCC3CCNCC3)cnc2-c2ccc(Br)cc2)cc1
CHEMBL3758664,26200,4.58,Brc1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(Br)cc2)cc1
CHEMBL3758833,32200,4.49,Cc1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(C)cc2)cc1
CHEMBL3758933,16500,4.78,N#Cc1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(Br)cc2)cc1
CHEMBL3759840,47800,4.32,c1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccccc2)cc1
CHEMBL4089024,557,6.25,Cc1cc(NNC(=O)c2cnccn2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1
CHEMBL4099019,1190,5.92,Cc1cc(NNC(=O)c2cnccn2)n2nc(SCc3ccccc3)nc2n1
CHEMBL3134377,258.5,6.59,Cc1ccc(-c2ncc(OC[C@@H]3CCNC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3216845,100,7,CN(C)[C@@H]1CCN(CCN[C@H]2C[C@@H]2c2ccccc2)C1.Cl.Cl
CHEMBL3651574,221,6.66,CN(C)[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1
CHEMBL3651575,118,6.93,CN(C)[C@@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1
CHEMBL3651576,9,8.05,N[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1
CHEMBL3651577,134.5,6.87,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N[C@H]1CCNC1
CHEMBL4063365,3325,5.48,COc1ccc([C@@H]2CN(C(=O)C[C@H]3CC[C@@H](N)CC3)C[C@H]2c2ccc(C#N)cc2)cn1
CHEMBL4065043,4000,5.4,N#Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](N)C3)cc2OC[C@@H]2CCC(=O)N2)cc1
CHEMBL4066130,129,6.89,Cn1ncc2cc([C@@H]3CN(C(=O)[C@H]4CC[C@H](CN)CC4)C[C@H]3c3ccc(C#N)cc3)ccc21
CHEMBL4069461,430,6.37,Cc1cc(COc2cc(C(=O)N3C[C@@H]4CCCN[C@@H]4C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4071991,39.5,7.4,Cc1ccc([C@@H]2CN(C(=O)[C@H]3CC[C@H](CN)CC3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4074334,91.5,7.04,Cc1cc(COc2cc(C(=O)N3CC[C@H](N)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4074738,1685,5.77,Cn1ncc2cc([C@@H]3CN(C(=O)[C@H]4CC[C@@H](N)CC4)C[C@H]3c3ccc(C#N)cc3)ccc21
CHEMBL4077739,384.5,6.42,Cc1cc(COc2cc(C(=O)N3C[C@H]4CCCN[C@H]4C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4078362,9800,5.01,Cc1ccc(S(=O)(=O)N(CC(=O)N2CC[C@@H](N)C2)c2ccc(C#N)cc2)cc1
CHEMBL4079770,870,6.06,CNC[C@H]1CC[C@H](C(=O)N2C[C@@H](c3ccc(C#N)cc3)[C@H](c3ccc4c(cnn4C)c3)C2)CC1
CHEMBL4079847,1715,5.77,Cc1ccc([C@@H]2CN(C(=O)[C@@H]3CCC[C@@H](N)C3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4082476,470,6.33,Cc1ccc([C@@H]2CN(C(=O)C[C@H]3CC[C@H](N)CC3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4083030,7750,5.11,Cc1ccc(S(=O)(=O)N(CC(=O)N2C[C@@H]3C[C@H]2CN3)c2ccc(C#N)cc2)cc1
CHEMBL4084845,115.3333333,6.94,Cc1ccc(-c2ncc(OC[C@H]3CCNC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL4085006,5350,5.27,COc1ccc([C@@H]2CN(C(=O)CC3CCCNC3)C[C@H]2c2ccc(C#N)cc2)cn1
CHEMBL4087724,340,6.47,Cc1ccc([C@@H]2CN(C(=O)CC3CCCNC3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4092760,179,6.75,CNC[C@H]1CC[C@H](C(=O)N2C[C@@H](c3ccc(C)cc3)[C@H](c3ccc(C#N)cc3)C2)CC1
CHEMBL4093703,3200,5.49,Cn1ncc2cc([C@@H]3CN(C(=O)c4ccc(CN)cc4)C[C@H]3c3ccc(C#N)cc3)ccc21
CHEMBL4096682,670,6.17,CCN(CC)C1CCN(C(=O)c2cc(OCc3cc(C)no3)n(-c3ccc(C#N)cc3)n2)C1
CHEMBL4097870,2405,5.62,Cc1ccc([C@@H]2CN(C(=O)C3CCNCC3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4100451,2375,5.62,N#Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](N)C3)cc2OC[C@H]2CCC(=O)N2)cc1
CHEMBL4100487,370.5,6.43,Cc1ccc([C@@H]2CN(C(=O)C[C@H]3CC[C@@H](N)CC3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4101077,785,6.11,Cc1cc(COc2cc(C(=O)N3CC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4101423,3100,5.51,Cn1ncc2cc([C@@H]3CN(C(=O)[C@H]4CC[C@H](N)CC4)C[C@H]3c3ccc(C#N)cc3)ccc21
CHEMBL4102632,13700,4.86,Cc1ccc(S(=O)(=O)N(CC(=O)N2CC[C@H](N)C2)c2ccc(C#N)cc2)cc1
CHEMBL4105603,570,6.24,Cc1ccc([C@@H]2CN(C(=O)CC3CCNCC3)C[C@H]2c2ccc(C#N)cc2)cc1
CHEMBL4107618,65.5,7.18,N[C@@H]1CCN(C2CCC(N[C@H]3C[C@@H]3c3ccccc3)CC2)C1
CHEMBL4111141,128,6.89,N[C@@H]1CCN(C2CCC(N[C@H]3C[C@@H]3c3ccc(-c4cccc(C(F)(F)F)c4)cc3)CC2)C1
CHEMBL4284293,90,7.05,Cc1ccc(-c2ncc(OCC3CCNC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL4437892,78.5,7.11,COc1ccc(-n2c(-c3ccc(C#N)c(F)c3)nc(C(=O)N3CC[C@@H](N)C3)c2C)cc1F
CHEMBL4444902,7.35,8.13,CN[C@H]1CCN(C(=O)c2nc(-c3ccc(C#N)c(F)c3)n(-c3ccc4nn(C)c(Cl)c4c3)c2C)C1
CHEMBL4453520,30,7.52,Cc1c(C(=O)N2CC[C@H](N(C)C)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1cc2cn(C)nc2cc1F
CHEMBL4454128,19,7.72,COc1ccc(-n2c(-c3ccc(C#N)c(F)c3)nc(C(=O)N3CC[C@H](N)C3)c2C)cc1F
CHEMBL4514358,25,7.6,Cc1c(C(=O)N2CC[C@H](N(C)C)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1
CHEMBL4516248,36,7.44,CN[C@H]1CCN(C(=O)c2nc(-c3ccc(C#N)c(F)c3)n(-c3cc4cn(C)nc4cc3F)c2C)C1
CHEMBL4517147,28.5,7.55,Cc1c(C(=O)N2CC[C@H](N(C)C)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1cc(F)c2nn(C)cc2c1
CHEMBL4548929,14.5,7.84,Cc1c(C(=O)N2CC[C@H](N)C2)nc(-c2ccc(C#N)c(F)c2)n1-c1ccc2nn(C)cc2c1
CHEMBL4560537,92,7.04,COc1ccc(-n2c(-c3ccc(C#N)c(F)c3)nc(C(=O)N[C@H]3CCNC3)c2C)cc1F
CHEMBL4588414,17200,4.76,Cc1cc(C(=O)N2CCC(Cc3cccc(C(N)=O)c3)C2)nc2[nH][nH]c(=O)c12
CHEMBL4591673,78,7.11,COc1ccc(-n2c(-c3ccc(C#N)c(F)c3)nc(C(=O)N[C@@H]3CCNC3)c2C)cc1F
CHEMBL4062785,303.5,6.52,Cc1cc(COc2cc(C(=O)N3CCC(N)CC3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4063384,3100,5.51,CC(=O)N1CCc2cc(S(=O)(=O)N(CC(=O)N3CCC(N)CC3)c3ccc(C#N)cc3)ccc21
CHEMBL4064746,5100,5.29,Cc1ccc(S(=O)(=O)N(CC(=O)N2CCC(N)CC2)c2ccc(C#N)cc2)cc1
CHEMBL4073334,7750,5.11,Cc1ccc(S(=O)(=O)N(CC(=O)N2CCC(N(C)C)CC2)c2ccc(C#N)cc2)cc1
CHEMBL4079000,2600,5.59,N#Cc1ccc(N(CC(=O)N2CCC(N)CC2)Cc2ccccc2)cc1
CHEMBL4079933,500,6.3,COc1ccc(CN(CC(=O)N2CCC(N)CC2)c2ccc(C#N)cc2)cc1F
CHEMBL4083732,3850,5.41,Cc1ccc(S(=O)(=O)N(CC(=O)N2CCC(C)(N)CC2)c2ccc(C#N)cc2)cc1
CHEMBL4086227,11050,4.96,Cc1ccc(S(=O)(=O)N(CC(=O)NC2CCNCC2)c2ccc(C#N)cc2)cc1
CHEMBL4087810,865,6.06,Cc1ccc(CN(CC(=O)N2CCC(N)CC2)c2ccc(C#N)cc2)cc1
CHEMBL4097953,3700,5.43,N#Cc1ccc(N(CC(=O)N2CCC(N)CC2)Cc2ccc(C#N)c(F)c2)cc1
CHEMBL4101729,5200,5.28,CNC1CCN(C(=O)CN(c2ccc(C#N)cc2)S(=O)(=O)c2ccc(C)cc2)CC1
CHEMBL4103264,380,6.42,Cn1ncc2cc(CN(CC(=O)N3CCC(N)CC3)c3ccc(C#N)cc3)ccc21
CHEMBL4301645,24,7.62,c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1
CHEMBL4581929,62,7.21,COc1ccc(-n2c(-c3ccc(C#N)c(F)c3)nc(C(=O)NC3CCNCC3)c2C)cc1F
CHEMBL3651571,240,6.62,O=C(CN[C@H]1C[C@@H]1c1ccccc1)NCC1CCNCC1
CHEMBL3758211,2050,5.69,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccccc2)cc1
CHEMBL3758340,650,6.19,Cc1ccc(-c2ncc(OCC3CCCNC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3758402,22300,4.65,CCNCc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(C)cc2)cc1
CHEMBL3758634,46,7.34,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(OC(F)(F)F)cc2)cc1
CHEMBL3758636,380,6.42,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cn1
CHEMBL3758747,3200,5.49,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2cccnc2)cc1
CHEMBL3758821,570,6.24,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(F)c(F)c2)cc1
CHEMBL3758849,220,6.66,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2F)cc1
CHEMBL3759070,1800,5.74,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(F)nc2)cc1
CHEMBL3759088,7600,5.12,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(CN3CCNCC3)cc2)cc1
CHEMBL3759102,88,7.06,CC(C)c1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3759201,29,7.54,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3759239,62,7.21,c1ccc([C@H]2C[C@@H]2NCC2CCNCC2)cc1
CHEMBL3759283,4000,5.4,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(C#N)cc2)cc1
CHEMBL3759351,150,6.82,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)c(F)c2)cc1
CHEMBL3759462,43800,4.36,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(CN3CCOCC3)cc2)cc1
CHEMBL3759472,5000,5.3,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccncc2)cc1
CHEMBL3759574,2400,5.62,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccsc2)cc1
CHEMBL3759645,4900,5.31,Cc1ccc(-c2ccc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3759654,740,6.13,COc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3759797,58,7.24,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(C(F)(F)F)cc2)cc1
CHEMBL3759861,200,6.7,CCc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3759939,220,6.66,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(F)cc2)cc1
CHEMBL3760085,1200,5.92,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(F)cc2F)cc1
